,Year,Area,H+,Temperature,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
100120AZ,,,9.36,34.1,,0.00000438,,0.002238488,,0.000993642,,,0.00000396,0.001577971,,0.0000539,0.002099979,0.0000317,,
120130J,,,9.4,32.1,0.001801779,0.00000442,7.02E-08,0.002001388,0.000000489,0.000746,,,0.000000922,0.001305466,,0.0000619,0.002418844,0.0000524,,
100109T,,,9.6,23.7,0.003560642,0.000226451,0.0000005,0.002383284,,0.000334166,,5.00E-05,0.00000742,0.002828722,,0.000046,0.001924295,0.0000368,,0.000000544
090118N,,,9.7,17.5,0.002324343,0.0000746,,0.006612022,4.68E-06,0.000196126,,,0.000000558,0.006223638,,0.000165199,0.001114585,0.000261976,,
140112L,,,9.8,21.3,0.001880592,0.000111,0.000000875,0.00375,0.00000348,0.000243,,0.0000365,0.000000209,0.00372,0.00000338,0.000106,0.00115,0.000313,0.000000716,0.000000219
120114N,,,9.8,21.8,0.002244045,0.00013288,3.65E-07,0.003174855,0.000000893,0.00020654,0.000000684,4.84E-05,0.00000174,0.003777758,1.17E-06,0.000083,0.001082082,0.000279,,0.000000635
100107E,,,10.1,26.9,0.000679615,0.000213989,0.00000105,0.004860836,,0.000497739,,,0.0000107,0.00489456,,0.0000974,0.000885415,0.000141043,,
120119B,,,10.1,24,0.0000662,0.00000595,2.25E-07,0.004274568,0.0000025,0.000117331,0.000000429,2.58E-05,0.000000638,0.002305565,,0.0000796,0.0000326,0.00114,,0.000000454
140111H,,,10.2,20.2,0.00179646,0.000145,0.00000255,0.00308,0.00000189,0.000182,0.000000161,0.0000125,0.00000129,0.00359,0.0000038,0.0000794,0.00117,0.000214,0.000000179,0.00000122
100113AN,,,10.2,28.6,0.001655988,0.000156558,0.000000597,0.00331571,,0.00039851,,6.61E-05,0.00000811,0.003834128,,0.000105935,0.001432627,0.002170767,,0.00000136
100109W,,,10.3,20.8,0.001930292,0.000119172,0.000000858,0.003347067,,0.00020801,0.000000665,,0.00000815,0.004146863,,0.0000681,0.001191524,0.00027197,,
140110D,,,10.4,21.8,0.00081233,0.0000914,0.000000309,0.00479,0.0000047,0.00018,,0.0000268,0.000000231,0.00492,0.00000661,0.000139,0.000782,0.000475,0.000000179,0.00000131
100113AO,,,10.4,27.4,0.001396959,0.000138007,0.000000463,0.003556825,,0.000362142,,3.87E-05,0.00000817,0.004179408,1.12E-05,0.000108352,0.001298087,0.000518988,,0.000000756
090120X,,,10.6,27.7,0.000148798,0.000186003,1.74E-07,0.005402629,2.45E-06,0.000430744,,,0.000000753,0.005046593,,0.000116373,0.00080971,0.000948104,,
090117J,,,10.6,18.8,0.001778175,0.000104182,2.28E-06,0.004438191,2.42E-06,0.000204249,,5.16E-05,0.00000229,0.005158817,9.98E-06,0.000111565,0.000994446,0.0000419,,
120116R,,,10.6,25.8,0.000756171,0.0000834,4.21E-08,0.003511778,0.000000833,0.000265755,0.000000484,2.58E-05,0.00000236,0.004260171,7.63E-06,0.00011781,0.00080683,0.000192,,0.000000968
090123G,,,10.6,27.6,0.000592473,0.000175998,,0.003541197,1.73E-06,0.000356051,,,0.00000177,0.003936708,,0.000119417,0.001534664,0.000603792,,
120123E,,,10.7,28.3,0.000394578,0.00000829,3.58E-07,0.00757673,0.00000447,0.0004202,,,0.000003,0.004048865,,0.000111018,0.0000102,0.00773,,
090122C,,,10.8,18.5,0.000352369,0.0000178,,0.00794625,3.22E-06,0.000296,,,0.00000317,0.008792607,,0.000189113,0.00030504,0.001347305,,
140111I,,,10.9,18.8,0.000846059,0.0001,0.000000171,0.00369,0.00000236,0.000154,0.000000296,0.0000084,0.0000015,0.00436,0.00000597,0.0000976,0.000807,0.000368,,0.00000203
090122A,,,10.9,17.4,0.000463205,0.0000363,1.05E-07,0.00782903,2.96E-06,0.000346964,,,0.00000303,0.008216264,,0.000169342,0.000860317,0.000494,,
