,Year,Area,Temperature,H+,HCO3-,O2,HS-,SiO2,METHANE,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,VO+2,CrO4-2,Mn+2,Fe+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,U+4,Hg+2,Fe+3
Sample 10,,,80.3,2.931,1.67E-05,0,0,0,0,0,0,0.000179489,9.90E-05,6.88E-08,0.002093057,2.32E-08,4.35E-08,4.68E-06,8.93E-06,0.001575468,0.000207662,0.000537368,6.17E-06,5.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 11,,,84.7,2.999,0.000194957,0,0,0,0,0,0,0.000518991,0.004795081,3.95E-06,0.00441553,2.63E-06,0,1.61E-05,0.000276041,0.010535015,0.000320378,0.000276485,2.67E-06,3.52E-05,2.55E-07,0.000194247,8.52E-05,3.65E-08,4.42E-09,5.11E-07,1.50E-05,3.56E-09,2.56E-08,1.02E-08,2.16E-07,5.16E-08,8.81E-06,1.38E-06,7.19E-08,6.86E-09,1.21E-08,6.89E-10,8.76E-08,4.27E-10,2.02E-10,1.44E-07,6.40E-07,1.72E-07,1.10E-08,5.38E-10,4.07E-07,1.37E-09,1.16E-08,4.54E-10,0,0
Sample 12,,,42.9,3.115,0.002164863,8.13E-05,5.61E-07,0.00485138,0,0,0,0.000205807,0.003155727,4.38E-06,0.006789424,2.11E-07,0,6.45E-07,0.000793834,0.018709874,0.000125486,0.000627398,0,0.000145958,0,0,0,0,0,0,1.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 13,,,62.9,3.165,0.000174854,1.25E-05,3.43E-06,0.005508771,0,0,0,6.16E-05,1.35E-05,1.03E-06,0.001859392,3.16E-07,0,1.94E-06,3.75E-05,0.002346237,0.000169906,0.000667298,1.52E-05,9.53E-05,4.11E-07,2.96E-06,1.15E-05,3.67E-09,9.42E-10,9.83E-06,4.73E-07,1.60E-09,5.62E-09,3.93E-09,3.03E-07,8.61E-11,6.53E-08,1.76E-06,2.10E-07,4.39E-09,3.40E-10,2.91E-10,1.25E-08,8.01E-10,7.58E-11,2.05E-09,1.28E-06,4.59E-07,2.66E-09,3.92E-11,5.44E-10,4.89E-09,1.54E-08,3.53E-09,0,0
Sample 14,,,73.4,3.256,0.000579517,1.47E-05,0,0,0,0,0,0.000145275,0.007897498,1.04E-05,0.001155303,0,0,8.06E-07,0.000376027,0.008671596,8.50E-05,0.001013607,9.55E-06,7.11E-05,2.66E-07,0.000388493,0.000111558,1.14E-08,2.71E-09,8.99E-07,3.78E-05,2.44E-09,7.67E-09,2.60E-09,2.72E-07,9.04E-10,1.67E-05,2.08E-06,1.78E-07,4.16E-08,9.21E-10,3.23E-10,5.52E-08,1.60E-10,2.02E-10,5.47E-08,7.60E-07,8.88E-07,6.98E-09,1.85E-10,2.66E-09,1.45E-09,4.30E-09,2.03E-09,0,0
Sample 15,,,37.7,3.575,2.19E-05,0.000109379,4.05E-07,0,0,0,0,0.003158161,0.046258427,5.13E-05,0.014562298,4.63E-07,0,2.58E-06,0.000704437,0.031896912,0,0.001988849,4.06E-06,0.000268463,1.89E-07,0.000934234,4.00E-05,1.59E-08,6.92E-09,7.64E-07,3.99E-06,1.02E-09,5.45E-09,1.42E-09,7.80E-08,6.31E-09,1.01E-05,3.90E-06,3.61E-07,2.97E-09,3.88E-09,3.87E-10,4.86E-07,3.47E-10,1.77E-10,1.84E-07,5.79E-07,1.20E-07,3.63E-09,8.40E-11,5.55E-07,5.72E-10,9.70E-10,1.26E-10,0,0
Sample 16,,,80.9,4.1,0,0,0,0,0,0,0,0.000598893,0.006648239,1.36E-05,0.001964817,0,0,2.17E-05,0.000560582,0,0.000120267,0,0,1.02E-07,0,0.000655906,7.85E-05,1.32E-08,0,6.44E-07,1.03E-05,0,0,0,0,0,0,2.68E-06,3.21E-07,0,0,0,1.27E-06,1.16E-09,0,5.47E-07,0,3.08E-07,0,0,8.81E-07,1.03E-09,3.38E-10,5.46E-10,0,0
Sample 17,,,73.2,4.305,0.00101074,0,0,0,0,0,0,0.000283182,0.000959016,1.08E-06,0.002666805,3.37E-06,0,1.07E-05,4.90E-05,0.003328839,5.09E-05,0.000746611,0.000429541,0.00061734,1.76E-07,7.68E-05,7.52E-05,2.75E-08,6.48E-09,6.23E-06,2.29E-05,1.37E-09,9.03E-09,1.89E-09,1.59E-07,1.72E-10,4.40E-08,1.66E-06,2.00E-06,5.96E-09,7.23E-09,2.69E-10,1.30E-08,2.22E-10,5.90E-11,1.43E-09,2.36E-08,7.72E-07,5.49E-09,3.31E-10,7.67E-09,1.96E-10,6.56E-10,2.06E-10,0,0
Sample 18,,,70.3,4.521,0,2.50E-05,2.43E-06,0.004040875,0,0,0,6.74E-05,1.49E-05,5.01E-08,0.000354637,8.42E-07,0,6.45E-08,1.44E-06,0.000497173,3.55E-05,0.000284414,7.82E-06,3.47E-05,0,0,0,0,0,0,1.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 19,,,50.5,4.58,0.0005995,6.25E-05,5.30E-07,0.002255101,0,0,0,6.63E-05,2.54E-05,9.26E-08,0.000661289,3.58E-08,7.83E-09,7.90E-07,3.31E-06,0.000716398,1.22E-05,0.00043992,1.65E-05,7.73E-05,0,0,0,0,0,0,3.58E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 20,,,42.7,4.88,0.000208001,0.000112504,4.58E-06,0.003734647,0,0,0,0.000385822,0.002033678,2.37E-06,0.000943687,0,3.70E-07,7.74E-06,0.000133309,0.003872118,7.14E-05,0.00011484,1.75E-06,1.36E-05,2.00E-07,8.05E-05,2.93E-05,7.85E-09,1.27E-09,4.55E-07,9.49E-06,1.05E-08,1.33E-08,1.09E-08,5.37E-07,5.59E-10,1.11E-06,2.93E-07,4.20E-08,8.89E-09,8.77E-09,8.83E-10,2.26E-08,5.87E-10,1.26E-10,3.70E-08,2.18E-07,2.55E-07,4.90E-10,3.36E-09,5.28E-09,1.17E-09,1.25E-09,1.59E-09,0009
