A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2023-02-02 12:11 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,6.8193E-10,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,1.0000E-08,0.000,150.0000,500.0000,7.0000,6.9973,-0.6696,0.5238,6.2384,1.0000,
B1,1.0000E-07,0.000,150.0000,500.0000,7.0001,6.9973,-0.6697,0.5238,6.2383,1.0000,
B1,1.0000E-06,0.000,150.0000,500.0000,7.0007,6.9979,-0.6713,0.5237,6.2373,1.0000,
B1,1.0000E-05,0.000,150.0000,500.0000,7.0066,7.0038,-0.6875,0.5228,6.2274,1.0000,
B1,1.0000E-04,0.000,150.0000,500.0000,7.0581,7.0546,-0.8950,0.5142,6.1240,1.0000,
B1,1.6900E-04,0.000,150.0000,500.0000,7.0904,7.0864,-1.1704,0.5057,6.0229,1.0000,
B1,2.4731E-04,0.000,150.0000,500.0000,7.0578,7.0539,-46.8694,-0.4508,-5.3693,1.0000,
B1,3.7096E-04,0.000,150.0000,500.0000,7.0175,7.0138,-46.8849,-0.4477,-5.3329,1.0000,
B1,4.8083E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.4766,-0.5418,-6.4528,1.0000,
B1,4.8989E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.5452,-0.5432,-6.4700,1.0000,
B1,5.9074E-04,0.000,150.0000,500.0000,6.9594,6.9558,-52.0767,-0.5518,-6.5728,1.0000,
B1,1.0000E-03,0.000,150.0000,500.0000,6.9893,6.9855,-52.6903,-0.5672,-6.7560,1.0000,
B1,1.0259E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,1.0395E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,3.2014E-03,0.000,150.0000,500.0000,7.0295,7.0257,-53.8843,-0.5957,-7.0947,1.0000,
B1,7.3299E-03,0.000,150.0000,500.0000,7.0295,7.0258,-53.8843,-0.5957,-7.0948,1.0000,
B1,1.0000E-02,0.000,150.0000,500.0000,7.0456,7.0418,-54.1559,-0.6027,-7.1788,1.0000,
B1,0.1000,0.000,150.0000,500.0000,7.1467,7.1425,-56.2007,-0.6541,-7.7909,0.9997,
B1,0.4125,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B1,1.000,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,3.4772E-05,1.5586E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,6.8193E-10,0.000,1.000,3.4771E-05,1.5587E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-08,0.000,1.000,3.4772E-05,1.5587E-04,1.7437E-05,-5.7781E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-07,0.000,1.000,3.4777E-05,1.5593E-04,1.7448E-05,-5.7747E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-06,0.000,1.000,3.4827E-05,1.5647E-04,1.7553E-05,-5.7403E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-05,0.000,1.000,3.5326E-05,1.6190E-04,1.8600E-05,-5.3961E-06,0.0049,0.0000,0.0000,0.0000,
B2,1.0000E-04,0.000,1.000,4.0019E-05,2.1590E-04,2.9031E-05,-1.9748E-06,0.0091,0.0000,0.0000,0.0000,
B2,1.6900E-04,0.000,1.000,4.3290E-05,2.5696E-04,3.6986E-05,6.2594E-07,0.0124,0.0000,0.0000,0.0000,
B2,2.4731E-04,0.000,1.000,4.0137E-05,2.9087E-04,3.4907E-05,-5.7046E-08,0.0156,0.0000,0.0000,0.0000,
B2,3.7096E-04,0.000,1.000,3.6554E-05,4.0649E-04,3.3250E-05,-5.9598E-07,0.0228,0.0000,0.0000,0.0000,
B2,4.8083E-04,0.000,1.000,3.4392E-05,5.8215E-04,3.2709E-05,-8.1414E-07,0.0293,0.0000,0.0000,0.0000,
B2,4.8989E-04,0.000,1.000,3.4400E-05,5.8808E-04,3.2714E-05,-8.1360E-07,0.0293,0.0000,0.0000,0.0000,
B2,5.9074E-04,0.000,1.000,3.2132E-05,7.4582E-04,3.1304E-05,-1.2916E-06,0.0351,0.0000,0.0000,0.0000,
B2,1.0000E-03,0.000,1.000,3.4466E-05,8.0552E-04,3.2768E-05,-8.2533E-07,0.0300,0.0000,0.0000,0.0000,
B2,1.0259E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,1.0395E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,3.2014E-03,0.000,1.000,3.7921E-05,1.5331E-03,3.3960E-05,-4.7435E-07,0.0235,0.0000,0.0000,0.0000,
B2,7.3299E-03,0.000,0.9999,3.7923E-05,1.5331E-03,3.3960E-05,-4.7560E-07,0.0235,0.0000,0.0000,0.0000,
B2,1.0000E-02,0.000,0.9998,3.9380E-05,1.9092E-03,3.4597E-05,-2.7734E-07,0.0215,0.0000,0.0000,0.0000,
B2,0.1000,0.000,0.9979,5.0065E-05,1.6732E-02,4.2543E-05,2.1858E-06,0.0400,0.0000,0.0000,0.0000,
B2,0.4125,0.000,0.9914,5.7209E-05,6.9153E-02,5.0082E-05,4.4562E-06,0.1432,0.0000,0.0000,0.0000,
B2,1.000,0.000,0.9915,5.7208E-05,6.9153E-02,5.0082E-05,4.4572E-06,0.1432,0.0000,0.0000,0.0000,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Si,Fe,
D2,1.0000E-04,0.000,-0.0430,0.0972,6.0084,0.0001,
D2,1.6900E-04,0.000,-0.0486,0.1643,10.1542,0.0001,
D2,2.4731E-04,0.000,-0.0471,0.1460,14.6938,0.0020,
D2,3.7096E-04,0.000,-0.0459,0.1317,21.8875,0.0022,
D2,4.8083E-04,0.000,-0.0458,0.1244,28.2742,0.0136,
D2,4.8989E-04,0.000,-0.0458,0.1244,28.2743,0.0140,
D2,5.9074E-04,0.000,-0.0448,0.1113,33.9607,0.0185,
D2,1.0000E-03,0.000,-0.0459,0.1232,28.5079,0.0217,
D2,1.0259E-03,0.000,-0.0460,0.1238,28.2759,0.0218,
D2,1.0395E-03,0.000,-0.0460,0.1238,28.2758,0.0218,
D2,3.2014E-03,0.000,-0.0470,0.1319,20.2632,0.0309,
D2,7.3299E-03,0.000,-0.0470,0.1318,20.2632,0.0309,
D2,1.0000E-02,0.000,-0.0475,0.1370,17.3475,0.0329,
D2,0.1000,0.000,-0.0538,0.2013,5.3849,0.0566,
D2,0.4125,0.000,-0.0599,0.2617,2.6522,0.0807,
D2,1.000,0.000,-0.0599,0.2617,2.6522,0.0807,
E1,EndTable:,D2,
E1,
E1,
E1,Table E1,Basis species(log true molality; log mole fraction for H2O, log fugacity for O2(g)),
E1,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E1,0.000,0.000,-1.2195E-06,-6.997,-18.02,-18.01,-28.68,-0.6695,
E1,6.8193E-10,0.000,-1.2195E-06,-6.997,-10.58,-9.177,-19.55,-0.6695,
E1,1.0000E-08,0.000,-1.2195E-06,-6.997,-9.417,-8.011,-19.55,-0.6696,
E1,1.0000E-07,0.000,-1.2200E-06,-6.997,-8.417,-7.011,-19.55,-0.6697,
E1,1.0000E-06,0.000,-1.2242E-06,-6.998,-7.417,-6.011,-19.55,-0.6713,
E1,1.0000E-05,0.000,-1.2667E-06,-7.004,-6.417,-5.011,-19.56,-0.6875,
E1,1.0000E-04,0.000,-1.6892E-06,-7.055,-5.420,-4.012,-19.61,-0.8950,
E1,1.6900E-04,0.000,-2.0104E-06,-7.086,-5.194,-3.785,-19.60,-1.170,
E1,2.4731E-04,0.000,-2.2757E-06,-7.054,-5.243,-3.624,-8.110,-46.87,
E1,3.7096E-04,0.000,-3.1804E-06,-7.014,-5.286,-3.450,-8.028,-46.88,
E1,4.8083E-04,0.000,-4.5547E-06,-6.986,-5.310,-3.338,-7.206,-51.48,
E1,4.8989E-04,0.000,-4.6011E-06,-6.986,-5.310,-3.338,-7.195,-51.55,
E1,5.9074E-04,0.000,-5.8352E-06,-6.956,-5.357,-3.257,-7.047,-52.08,
E1,1.0000E-03,0.000,-6.3023E-06,-6.986,-5.314,-3.334,-7.004,-52.69,
E1,1.0259E-03,0.000,-6.3496E-06,-6.987,-5.312,-3.338,-7.002,-52.72,
E1,1.0395E-03,0.000,-6.3496E-06,-6.987,-5.312,-3.338,-7.002,-52.72,
E1,3.2014E-03,0.000,-1.1994E-05,-7.026,-5.286,-3.483,-6.885,-53.88,
E1,7.3299E-03,0.000,-1.1995E-05,-7.026,-5.286,-3.483,-6.885,-53.88,
E1,1.0000E-02,0.000,-1.4938E-05,-7.042,-5.270,-3.551,-6.872,-54.16,
E1,0.1000,0.000,-1.3089E-04,-7.142,-5.108,-4.062,-6.731,-56.20,
E1,0.4125,0.000,-5.4071E-04,-7.197,-4.998,-4.372,-6.633,-57.44,
E1,1.000,0.000,-5.4071E-04,-7.197,-4.998,-4.372,-6.633,-57.44,
E2,EndTable:,E1,
E2,
E2,
E2,Table E2,Basis species(log activity; log fugacity for O2(g)),
E2,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E2,0.000,0.000,-0.0000,-7.0000,-18.0301,-18.0106,-28.6859,-0.6695,
E2,6.8193E-10,0.000,-0.0000,-7.0000,-10.5943,-9.1768,-19.5602,-0.6695,
E2,1.0000E-08,0.000,-0.0000,-7.0000,-9.4280,-8.0106,-19.5602,-0.6696,
E2,1.0000E-07,0.000,-0.0000,-7.0001,-8.4280,-7.0106,-19.5602,-0.6697,
E2,1.0000E-06,0.000,-0.0000,-7.0007,-7.4281,-6.0106,-19.5610,-0.6713,
E2,1.0000E-05,0.000,-0.0000,-7.0066,-6.4287,-5.0107,-19.5688,-0.6875,
E2,1.0000E-04,0.000,-0.0000,-7.0581,-5.4338,-4.0121,-19.6200,-0.8950,
E2,1.6900E-04,0.000,-0.0000,-7.0904,-5.2093,-3.7851,-19.6157,-1.1704,
E2,2.4731E-04,0.000,-0.0000,-7.0578,-5.2584,-3.6237,-8.1257,-46.8694,
E2,3.7096E-04,0.000,-0.0000,-7.0175,-5.3012,-3.4496,-8.0426,-46.8849,
E2,4.8083E-04,0.000,-0.0000,-6.9895,-5.3244,-3.3377,-7.2213,-51.4766,
E2,4.8989E-04,0.000,-0.0000,-6.9895,-5.3245,-3.3377,-7.2100,-51.5452,
E2,5.9074E-04,0.000,-0.0000,-6.9594,-5.3713,-3.2574,-7.0612,-52.0767,
E2,1.0000E-03,0.000,-0.0000,-6.9893,-5.3287,-3.3341,-7.0186,-52.6903,
E2,1.0259E-03,0.000,-0.0000,-6.9906,-5.3267,-3.3377,-7.0165,-52.7189,
E2,1.0395E-03,0.000,-0.0000,-6.9906,-5.3267,-3.3377,-7.0165,-52.7189,
E2,3.2014E-03,0.000,-0.0000,-7.0295,-5.3013,-3.4834,-6.9001,-53.8843,
E2,7.3299E-03,0.000,-0.0000,-7.0295,-5.3013,-3.4834,-6.9001,-53.8843,
E2,1.0000E-02,0.000,-0.0000,-7.0456,-5.2854,-3.5513,-6.8870,-54.1559,
E2,0.1000,0.000,-0.0001,-7.1467,-5.1253,-4.0623,-6.7482,-56.2007,
E2,0.4125,0.000,-0.0005,-7.2020,-5.0160,-4.3718,-6.6518,-57.4403,
E2,1.000,0.000,-0.0005,-7.2020,-5.0160,-4.3718,-6.6518,-57.4403,
E3,EndTable:,E2,
E3,
E3,
E3,Table E3,Basis species(log activity coefficient),
E3,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E3,0.000,0.000,0.0000,-0.0027,-0.0109,0.0000,-0.0109,0.0000,
E3,6.8193E-10,0.000,0.0000,-0.0027,-0.0109,0.0000,-0.0109,0.0000,
E3,1.0000E-08,0.000,0.0000,-0.0027,-0.0109,0.0000,-0.0109,0.0000,
E3,1.0000E-07,0.000,0.0000,-0.0027,-0.0109,0.0000,-0.0109,0.0000,
E3,1.0000E-06,0.000,0.0000,-0.0027,-0.0109,0.0000,-0.0109,0.0000,
E3,1.0000E-05,0.000,0.0000,-0.0028,-0.0112,0.0000,-0.0112,0.0000,
E3,1.0000E-04,0.000,0.0000,-0.0035,-0.0140,0.0000,-0.0140,0.0000,
E3,1.6900E-04,0.000,0.0000,-0.0039,-0.0157,0.0000,-0.0158,0.0000,
E3,2.4731E-04,0.000,0.0000,-0.0038,-0.0153,0.0000,-0.0154,0.0000,
E3,3.7096E-04,0.000,0.0000,-0.0037,-0.0149,0.0000,-0.0150,0.0000,
E3,4.8083E-04,0.000,0.0000,-0.0037,-0.0148,0.0000,-0.0149,0.0000,
E3,4.8989E-04,0.000,0.0000,-0.0037,-0.0148,0.0000,-0.0149,0.0000,
E3,5.9074E-04,0.000,0.0000,-0.0036,-0.0145,0.0000,-0.0146,0.0000,
E3,1.0000E-03,0.000,0.0000,-0.0037,-0.0148,0.0000,-0.0149,0.0000,
E3,1.0259E-03,0.000,0.0000,-0.0037,-0.0148,0.0000,-0.0149,0.0000,
E3,1.0395E-03,0.000,0.0000,-0.0037,-0.0148,0.0000,-0.0149,0.0000,
E3,3.2014E-03,0.000,0.0000,-0.0038,-0.0151,0.0000,-0.0152,0.0000,
E3,7.3299E-03,0.000,0.0000,-0.0038,-0.0151,0.0000,-0.0152,0.0000,
E3,1.0000E-02,0.000,0.0000,-0.0038,-0.0152,0.0000,-0.0153,0.0000,
